Posicao;Nome;Curso;Opcao;Grupo;Media
66;Tarik Barnett Steele;Enfermagem - Sao Carlos;1;3;870.50
67;Xenos Lamb Erickson;Engenharia Civil - Sao Carlos;1;2;870.38
68;Sebastian Salinas Brennan;Psicologia - Sao Carlos;1;5;869.33
69;Emi Gould Castro;Fisica - Araras;1;3;869.00
70;Ashely Franklin Stephens;Ciencias Econimcas - Sorocaba;1;3;868.78
71;Vivian Glenn Dennis;Engenharia Agronomica - Araras;1;3;868.71
72;Melinda;Agroecologia - Araras;1;2;868.43
73;Jacob Greene Moon;Matematica - Sorocaba;1;4;868.38
74;Jenna;Biotecnologia - Araras;1;2;868.22
75;Nolan Morris Brock;Fisica - Sao Carlos;1;2;868.00
76;Brianna Conway Sims;Enfermagem - Sao Carlos;1;3;867.75
77;Kimberley Knapp Eaton;Educacao Fisica - Sao Carlos;1;4;867.67
78;Christen Burgess Anderson;Pedagogia - Sao Carlos;1;1;867.57
79;Chava;Ciencias Biologicas - Araras;1;3;867.13
80;Sydnee Rutledge Roberts;Psicologia - Sao Carlos;1;2;867.11
81;Emma Cash Mcdonald;Engenharia Ambiental - Lagoa do Sino;1;2;867.00
82;Daphne Downs Johns;Gerontologia - Sao Carlos;1;4;867.00
83;Chantale Lopez Carter;Engenharia Civil - Sao Carlos;1;2;866.38
84;Barrett Woodard George;Quimica - Sorocaba;1;2;866.00
85;Ursa Henson Hendricks;Estatistica - Sao Carlos;1;3;865.71
86;Denise Goodwin Mills;Engenharia Agronomica - Lagoa do Sino;1;5;864.67
87;Frances Holder Giles;Enfermagem - Sao Carlos;1;2;864.13
88;Barbara Obrien Shepherd;Ciencia da Computacao - Sao Carlos;1;4;864.00
89;Nicholas Mathis Townsend;Fisica - Araras;1;2;863.89
90;Uta Leblanc Bonner;Filosofia - Sao Carlos;1;4;863.75
91;Deanna;Biotecnologia - Araras;1;5;863.44
92;Aileen Dyer Hull;Engenharia Ambiental - Lagoa do Sino;1;1;862.44
93;Dalton;Biotecnologia - Araras;1;1;862.33
94;Brianna Callahan Bowers;Biotecnologia - Sao Carlos;1;3;862.25
95;Erica Cook Kent;Engenharia de Computacao - Sao Carlos;1;3;862.13
96;Haley Reid Elliott;Quimica - Araras;1;5;861.89
97;Jameson Smith Hicks;Ciencias Sociais - Sao Carlos;1;4;861.86
98;Hedy Brewer Parks;Estatistica - Sao Carlos;1;2;861.43
99;Timothy Sharpe William;Fisica - Sorocaba;1;1;860.89
100;Alexander Aguirre Castaneda;Biblioteconomia - Sao Carlos;1;1;860.88
101;Tobias Dillard Johnson;Pedagogia - Sao Carlos;1;2;860.86
102;Yen Pope Patrick;Engenharia Florestal - Sorocaba;1;1;860.38
103;Charity Schroeder Nelson;Imagem Som - Sao Carlos;1;2;859.63
104;Germaine Gilmore Burke;Filosofia - Sao Carlos;1;2;859.38
105;Stephen Oneal Mcmahon;Engenharia Agronomica - Araras;1;3;859.29
106;Serina Levy Schultz;Engenharia Agronomica - Araras;1;3;859.14
107;Ryan;Ciencias Biologicas - Araras;1;1;858.50
108;Ryan Gamble Stokes;Engenharia Ambiental - Lagoa do Sino;1;2;857.89
109;Serina Mosley Dawson;Ciencias Econimcas - Sorocaba;1;2;857.00
110;Myles Robles Cohen;Fisica - Sorocaba;1;1;856.89
111;Sydnee Phillips Ballard;Letras - Sao Carlos;1;4;856.88
112;Kaseem Lowery Garrison;Letras - Sao Carlos;1;2;855.63
113;Kaseem Manning Gutierrez;Matematica - Sao Carlos;1;4;855.57
114;Rudyard Webster Neal;Engenharia Eletrica - Sao Carlos;1;4;855.57
115;Ezra Dorsey Salas;Engenharia Quimica - Sao Carlos;1;2;855.57
116;Pascale Richardson Bernard;Engenharia Mecanica - Sao Carlos;1;3;855.57
117;Jorden Michael Patrick;Engenharia Agronomica - Araras;1;4;855.43
118;Cadman;Agroecologia - Araras;1;3;855.14
119;Colleen Delgado Russo;Quimica - Sorocaba;1;4;855.11
120;Sloane Dominguez Durham;Engenharia Agronomica - Araras;1;5;855.00
121;Carol Reyes Banks;Ciencias Sociais - Sao Carlos;1;5;854.57
122;Herrod Henry Cotton;Engenharia Fisica - Sao Carlos;1;1;854.57
123;Kadeem Kirkland Rowe;Ciencia da Computacao - Sorocaba;1;2;853.88
124;Baxter Newman Quinn;Ciencia da Computacao - Sao Carlos;1;1;853.88
125;Hayes Meyers Durham;Engenharia de Producao - Sorocaba;1;1;853.25
126;Kenyon Good Becker;Engenharia Florestal - Sorocaba;1;1;852.88
127;Martha Valdez Potter;Engenharia Agronomica - Lagoa do Sino;1;2;852.78
128;Mary Savage William;Filosofia - Sao Carlos;1;2;852.25
129;Jesse Goodman Simpson;Linguistica - Sao Carlos;1;5;852.25
130;Stella Edwards Haney;Engenharia Eletrica - Sao Carlos;1;5;852.00
131;Wilma Henderson Dunlap;Gerontologia - Sao Carlos;1;5;851.89
132;Barbara Fletcher Pickett;Biblioteconomia - Sao Carlos;1;1;851.88
133;Ali Blair Meyer;Quimica - Sao Carlos;1;3;851.80
134;Phelan;Biotecnologia - Araras;1;3;851.78
135;Noah Wolfe Hickman;Psicologia - Sao Carlos;1;3;851.33
136;Cheyenne;Biotecnologia - Araras;1;4;851.11
137;Wayne Garrison Donaldson;Ciencias Biologicas - Sorocaba;1;2;851.00
138;Charity Thornton Charles;Enhenharia de Producao - Sao Carlos;1;1;850.57
139;Melissa Parker Jordan;Engenharia Mecanica - Sao Carlos;1;5;850.43
140;Iliana Juarez Ford;Engenharia Agronomica - Araras;1;4;850.43
141;Lance;Agroecologia - Araras;1;5;850.43
142;Basil Berger Whitehead;Ciencia da Computacao - Sao Carlos;1;3;850.25
143;Luke Lyons Salinas;Ciencia da Computacao - Sao Carlos;1;4;850.25
144;Desiree Velez Conway;Matematica - Sao Carlos;1;2;850.14
145;Tatum;Ciencias Biologicas - Araras;1;4;850.13
146;Regina;Agroecologia - Araras;1;5;849.86
147;Paki Lopez Gross;Quimica - Sao Carlos;1;1;849.60
148;Eagan Harding Higgins;Enhenharia de Producao - Sao Carlos;1;4;849.29
149;Kibo;Ciencias Biologicas - Araras;1;2;849.00
150;Fay Houston Lewis;Gerontologia - Sao Carlos;1;2;848.78
151;Marcia Alford Kline;Engenharia Florestal - Sorocaba;1;1;848.75
152;Althea Bryant Barlow;Pedagogia - Sao Carlos;1;2;848.71
153;Blossom Hayden Johnson;Pedagogia - Sao Carlos;1;3;848.71
154;Lucian Gay Kramer;Engenharia Civil - Sao Carlos;1;1;848.63
155;Reagan Rowland Conrad;Engenharia Mecanica - Sao Carlos;1;4;847.86
156;Quamar Hicks Blankenship;Engenharia Agronomica - Araras;1;1;847.71
157;Holmes Holder West;Engenharia Ambiental - Lagoa do Sino;1;5;847.44
158;Oleg Lucas Cox;Engenharia Fisica - Sao Carlos;1;2;847.29
159;Justin Gomez Henson;Turismo - Sorocaba;1;1;847.22
160;Emily Brown Murphy;Engenharia de Materiais - Sao Carlos;1;4;846.86
161;Simone Tate Bradshaw;Ciencia da Computacao - Sorocaba;1;4;846.63
162;Britanney Bender Mueller;Quimica - Araras;1;4;846.44
163;Carolyn Stark Pacheco;Fisica - Sorocaba;1;2;846.11
164;Noelani Randall Rivas;Gerontologia - Sao Carlos;1;2;846.00
165;Virginia Shepard Guerrero;Filosofia - Sao Carlos;1;2;845.25
166;Allegra Kline Hebert;Engenharia Mecanica - Sao Carlos;1;2;845.14
167;Elizabeth Rhodes Jordan;Ciencias Biologicas - Araras;1;1;845.00
168;Drake Buchanan Stokes;Linguistica - Sao Carlos;1;3;844.88
169;Willow Battle Calhoun;Fisioterapia - Sao Carlos;1;3;844.75
170;Dustin Carrillo Murphy;Engenharia de Producao - Sorocaba;1;4;843.88
171;Zena Wolf Garcia;Agroecologia - Araras;1;2;843.86
172;Laura Marks Rogers;Engenharia Fisica - Sao Carlos;1;5;843.86
173;Kaseem Gallegos Eaton;Matematica - Sorocaba;1;4;843.38
174;Farrah Watts Hodge;Terapia Ocupacional - Sao Carlos;1;3;843.22
175;Joel Stewart Mayer;Ciencias Sociais - Sao Carlos;1;2;843.14
176;Patience Webster Kirk;Fisioterapia - Sao Carlos;1;1;843.00
177;Cecilia;Ciencias Biologicas - Araras;1;3;842.88
178;April Pace Henson;Gestao e Analise Ambiental - Sao Carlos;1;4;842.50
179;Jesse May Kane;Pedagogia - Sao Carlos;1;5;842.43
180;Clio Macias Hart;Enhenharia de Producao - Sao Carlos;1;1;842.29
181;Perry Andrews Copeland;Terapia Ocupacional - Sao Carlos;1;2;841.89
182;Laura York Moreno;Matematica - Sorocaba;1;1;841.88
183;Melvin Walton Pratt;Ciencias Biologicas - Sorocaba;1;2;841.63
184;Minerva Sellers Richmond;Enhenharia de Producao - Sao Carlos;1;4;841.57
185;Leslie Baxter Tillman;Terapia Ocupacional - Sao Carlos;1;1;841.33
186;Madonna Frederick Myers;Engenharia Ambiental - Lagoa do Sino;1;1;841.33
187;Sade Miller Rowland;Engenharia de Materiais - Sao Carlos;1;4;841.29
188;Nolan Best Meadows;Biotecnologia - Sao Carlos;1;1;841.25
189;Jameson Diaz Cervantes;Ciencias Econimcas - Sorocaba;1;4;840.89
190;Adara Howard Lawrence;Gestao e Analise Ambiental - Sao Carlos;1;2;840.88
191;Grace Palmer Lee;Pedagogia - Sao Carlos;1;4;840.86
192;Hayes Burris Erickson;Quimica - Araras;1;5;840.56
193;Sean Moon Hewitt;Gestao e Analise Ambiental - Sao Carlos;1;4;840.38
194;Rafael Baker Monroe;Administracao - Sorocaba;1;5;840.25
195;Regan Boyer Rowland;Biotecnologia - Sao Carlos;1;5;840.25
196;Hyacinth Estes Daniel;Quimica - Sao Carlos;1;3;840.00
197;Jade Juarez Summers;Enfermagem - Sao Carlos;1;2;840.00
198;Tashya Garner Guerrero;Engenharia Agronomica - Lagoa do Sino;1;3;839.78
199;Dai Ray Leon;Ciencias Biologicas - Araras;1;3;839.75
200;Jeanette Snider Ford;Engenharia de alimentos - Lagoa do Sino;1;5;839.44
201;Darryl Thornton Patel;Biblioteconomia - Sao Carlos;1;4;839.00
202;Aidan Montoya Cooke;Estatistica - Sao Carlos;1;3;838.71
203;Kristen House Harmon;Quimica - Sao Carlos;1;3;838.60
204;Aristotle Collins Graves;Engenharia Fisica - Sao Carlos;1;3;837.86
205;Giovanni Brogiato;Educacao Fisica - Sao Carlos;1;5;837.83
206;Zelenia Townsend Hensley;Ciencias Biologicas - Sorocaba;1;4;837.75
207;MacKenzie Wynn Dudley;Pedagogia - Sao Carlos;1;1;837.71
208;Hyacinth Farmer Vance;Fisica - Sorocaba;1;1;837.67
209;Amber;Agroecologia - Araras;2;1;837.57
210;Sarah Hays Kirby;Engenharia Mecanica - Sao Carlos;1;5;837.29
211;Trevor Serrano Wood;Pedagogia - Sorocaba;1;4;837.00
212;Vernon Fisher Bradford;Engenharia Florestal - Sorocaba;1;2;836.75
213;Abra Wallace Wright;Ciencias Econimcas - Sorocaba;1;5;836.56
214;Courtney Perez Nichols;Estatistica - Sao Carlos;1;1;836.14
215;Melinda Kennedy Mendoza;Ciencia da Computacao - Sao Carlos;1;1;836.13
216;Audra Myers Gutierrez;Engenharia Agronomica - Araras;1;2;836.00
217;Ignacia Delgado Hubbard;Engenharia de Computacao - Sao Carlos;1;3;835.63
218;Rose Bernard Mcgee;Engenharia de Materiais - Sao Carlos;1;4;835.29
219;Hasad Sanders Suarez;Terapia Ocupacional - Sao Carlos;1;4;834.44
220;Pamela Hodges Reeves;Filosofia - Sao Carlos;1;5;834.38
221;Evelyn Allison Richardson;Biotecnologia - Araras;1;1;834.33
222;Lilah King Mccall;Estatistica - Sao Carlos;1;1;834.29
223;Zena Sparks Morin;Quimica - Araras;1;5;834.11
224;Aretha Larsen Holt;Fisica - Araras;1;4;833.89
225;Wynne Christian Barnes;Matematica - Sao Carlos;1;1;833.86
226;Colorado Harris House;Engenharia de Producao - Sorocaba;1;2;833.50
227;Christopher Moon May;Enhenharia de Producao - Sao Carlos;1;5;833.43
228;Allistair Branch Davenport;Engenharia Agronomica - Lagoa do Sino;1;3;833.33
229;Kato Strickland Ferrell;Educacao Especial - Sao Carlos;1;4;833.14
230;Kessie Lawrence Rhodes;Fisioterapia - Sao Carlos;1;2;833.13
231;Sade Vega Jennings;Biblioteconomia - Sao Carlos;2;1;833.13
232;Nayda Gomez Chen;Estatistica - Sao Carlos;1;3;833.00
233;Chandler Mooney Vargas;Engenharia Eletrica - Sao Carlos;1;4;833.00
234;Wylie Franks Bean;Psicologia - Sao Carlos;1;5;832.89
235;Hiram Wyatt Mcintyre;Engenharia de Producao - Sorocaba;1;3;832.75
236;Stephen Valenzuela Luna;Linguistica - Sao Carlos;1;4;832.75
237;Lucy Lindsay Baxter;Educacao Fisica - Sao Carlos;1;1;832.67
238;Aline Mcgowan Chan;Quimica - Araras;1;4;832.33
239;Igor Rush Waller;Matematica - Sorocaba;1;1;832.25
240;Dustin Trujillo Roy;Pedagogia - Sorocaba;2;2;831.88
241;MacKenzie Mathews Harvey;Engenharia Florestal - Sorocaba;1;4;831.88
242;Brennan Ramos Mcmahon;Ciencias Econimcas - Sorocaba;1;1;831.67
243;Carly England Russell;Engenharia de Materiais - Sao Carlos;1;4;831.57
244;Carlos Santiago Caldwell;Letras - Sao Carlos;1;5;831.50
245;Tobias Rowland Wilder;Quimica - Sao Carlos;1;5;831.40
246;Sebastian Bradshaw Buckley;Turismo - Sorocaba;1;3;831.22
247;Jesse Hayden Snyder;Fisica - Sao Carlos;1;4;830.57
248;Howard Richardson Harrell;Psicologia - Sao Carlos;1;1;830.56
249;Graham Fischer Nash;Gestao e Analise Ambiental - Sao Carlos;1;4;830.50
250;Jasper Nielsen Mccullough;Engenharia Florestal - Sorocaba;1;3;830.25
251;Hedda Cash Burris;Engenharia Mecanica - Sao Carlos;1;5;830.14
252;Arsenio Marquez Sykes;Engenharia Civil - Sao Carlos;1;5;830.13
253;Kirsten Mccormick Wagner;Gerontologia - Sao Carlos;1;2;829.44
254;Amos Vance Maddox;Filosofia - Sao Carlos;1;3;829.25
255;Charde Mcdonald Harding;Ciencia da Computacao - Sao Carlos;1;1;829.13
256;Camille Watson Gates;Pedagogia - Sao Carlos;2;5;829.00
257;Constance Middleton Goodman;Engenharia Mecanica - Sao Carlos;1;1;828.86
258;Nevada Heath Day;Turismo - Sorocaba;1;4;828.67
259;Fleur Singleton Knox;Engenharia de Producao - Sorocaba;1;1;828.38
260;Sybil Goff Grant;Terapia Ocupacional - Sao Carlos;1;2;827.89
261;Lois Graves Curry;Quimica - Araras;1;3;827.89
262;Kay Wood Warren;Engenharia de Computacao - Sao Carlos;1;4;827.75
263;Derek Aguilar Gordon;Engenharia Civil - Sao Carlos;1;3;827.63
264;Benjamin Scott Cleveland;Educacao Fisica - Sao Carlos;1;1;827.50
265;Stone Butler Harrington;Biblioteconomia - Sao Carlos;1;5;827.38
266;Lenore Talley Ayala;Matematica - Sao Carlos;2;1;827.00
267;Zephr Jordan Lang;Ciencias Econimcas - Sorocaba;1;5;826.89
268;Gannon Aguirre Herring;Engenharia Florestal - Sorocaba;1;2;826.88
269;Shellie Cochran Cummings;Fisica - Araras;1;3;826.78
270;Mohammad Camacho Mccormick;Enhenharia de Producao - Sao Carlos;1;2;826.71
271;Britanney Kinney Vazquez;Engenharia Eletrica - Sao Carlos;1;5;826.71
272;Veronica Jackson Doyle;Engenharia Florestal - Sorocaba;1;4;826.38
273;Jennifer English Cunningham;Engenharia Eletrica - Sao Carlos;1;3;826.29
274;Lamar Salazar Carey;Educacao Especial - Sao Carlos;1;5;826.14
275;Geraldine Bray Murphy;Ciencias Biologicas - Sorocaba;1;4;826.13
276;Gavin Holt Lowe;Psicologia - Sao Carlos;1;1;826.11
277;Andrew Rivas Buck;Pedagogia - Sorocaba;1;2;825.88
278;Vernon Sanders Holman;Engenharia Florestal - Sorocaba;2;4;825.88
279;Colleen Buck French;Biblioteconomia - Sao Carlos;1;4;825.63
280;Leslie Coffey Wise;Linguistica - Sao Carlos;1;4;825.63
281;Eric Medina Horton;Enfermagem - Sao Carlos;1;2;825.63
282;Honorato Bishop Hyde;Engenharia Quimica - Sao Carlos;1;2;825.57
283;Heather Kent Wyatt;Engenharia de Computacao - Sao Carlos;1;3;825.50
284;John Mccall Eaton;Ciencia da Computacao - Sorocaba;1;2;825.38
285;Mia Diaz Davenport;Enfermagem - Sao Carlos;1;1;825.38
286;Ulla Britt Thornton;Enfermagem - Sao Carlos;2;4;825.38
287;Gillian Mccray Sparks;Educacao Especial - Sao Carlos;1;3;825.14
288;Renee Mcgowan Zamora;Engenharia Fisica - Sao Carlos;1;3;825.14
289;Jackson Ortega Pollard;Administracao - Sorocaba;1;1;825.13
290;Brendan Talley Key;Ciencia da Computacao - Sorocaba;1;1;825.13
291;Callie Davis Curtis;Pedagogia - Sorocaba;1;2;825.00
292;Laurel Ellis Norman;Letras - Sao Carlos;1;2;824.75
293;Holmes Wagner Mclean;Biblioteconomia - Sao Carlos;1;1;824.75
294;Eaton Warner Smith;Engenharia Agronomica - Lagoa do Sino;1;4;824.44
295;Sean Leach Fuller;Ciencias Biologicas - Sao Carlos;1;2;823.75
296;Serena Kidd Mendez;Letras - Sao Carlos;1;1;823.50
297;Imogene Lopez Jacobs;Biblioteconomia - Sao Carlos;1;4;823.50
298;Brittany Walter Sykes;Ciencias Sociais - Sao Carlos;1;3;823.43
299;Merrill Valentine Faulkner;Engenharia Agronomica - Araras;1;4;823.29
300;Jaime Ramsey Jefferson;Ciencias Biologicas - Sorocaba;1;2;823.25
301;Carson Hopkins Burks;Estatistica - Sao Carlos;1;2;823.14
302;Harper Mcmillan Shannon;Ciencias Biologicas - Araras;2;1;823.13
303;Regan Mathews Macias;Fisica - Araras;1;3;823.00
304;Virginia Whitehead Clayton;Ciencias Biologicas - Sao Carlos;1;4;823.00
305;Chadwick Charles Barton;Agroecologia - Araras;2;1;823.00
306;Felicia Horn Miranda;Engenharia Eletrica - Sao Carlos;1;5;823.00
307;Natalie;Agroecologia - Araras;2;1;822.86
308;Kiara Colon Burns;Agroecologia - Araras;1;5;822.57
309;Kennan Thornton Reynolds;Medicina - Sao Carlos;1;1;822.29
310;Mariko Hess Sampson;Enfermagem - Sao Carlos;1;4;822.25
311;Bryar Miles Wooten;Engenharia Ambiental - Lagoa do Sino;1;4;822.22
312;Marcia Fitzpatrick Pena;Engenharia de Computacao - Sao Carlos;1;5;822.13
313;Imogene Stanley Burgess;Fisica - Araras;1;1;821.89
314;Gage Chaney Dunn;Enhenharia de Producao - Sao Carlos;1;2;821.71
315;Ahmed Duran Sellers;Matematica - Sao Carlos;1;4;821.71
316;Trevor Barrett Allen;Fisica - Sorocaba;1;4;821.56
317;Virginia Hewitt Mendoza;Fisica - Sorocaba;1;3;820.67
318;Kameko Black Matthews;Engenharia Florestal - Sorocaba;1;1;820.50
319;Erica Flowers Ware;Ciencia da Computacao - Sorocaba;1;3;820.50
320;Knox Walsh Kirby;Fisica - Araras;1;5;820.44
321;Nita Chaney Mullen;Educacao Especial - Sao Carlos;1;4;820.43
322;Lareina Coleman Curry;Engenharia Agronomica - Araras;1;1;820.29
323;Cadman Mcdaniel Pope;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;1;820.29
324;Marshall Horton Knowles;Ciencia da Computacao - Sorocaba;1;4;820.13
325;Leila Roach Lloyd;Fisioterapia - Sao Carlos;1;1;820.13
326;Destiny;Agroecologia - Araras;1;5;820.00
327;Amy Knapp Bean;Agroecologia - Araras;1;3;819.57
328;Mara Vaughan Matthews;Matematica - Sorocaba;1;2;819.38
329;Boris Key Rios;Enfermagem - Sao Carlos;1;5;819.38
330;Anika Conrad Porter;Enhenharia de Producao - Sao Carlos;1;5;819.29
331;Simone Hendrix Higgins;Engenharia Mecanica - Sao Carlos;1;5;819.14
332;Zephania William Keller;Ciencia da Computacao - Sorocaba;2;2;819.13
333;Rebekah Bennett Horton;Biblioteconomia - Sao Carlos;1;5;819.13
334;Ciaran Leach Stephenson;Pedagogia - Sorocaba;1;4;819.00
335;Caryn Dorsey Goodwin;Ciencia da Computacao - Sorocaba;1;3;818.88
336;Prescott Mccray Brooks;Ciencia da Computacao - Sorocaba;1;2;818.88
337;Grady Ramos Mcintyre;Imagem Som - Sao Carlos;1;2;818.88
338;Elvis Walsh Vazquez;Biblioteconomia - Sao Carlos;1;4;818.50
339;Vanna;Biotecnologia - Araras;1;3;818.44
340;Delilah Myers Casey;Quimica - Sorocaba;1;3;818.33
341;Cameron Baird Roy;Quimica - Araras;1;1;818.33
342;Baxter;Agroecologia - Araras;1;2;818.29
343;Demetria Moses Haynes;Psicologia - Sao Carlos;1;2;818.22
344;Dominique Ashley Fuentes;Engenharia de Producao - Sorocaba;1;1;818.13
345;Prescott Clemons Bell;Matematica - Sao Carlos;1;5;818.00
346;Ira Kelly English;Ciencia da Computacao - Sorocaba;1;4;818.00
347;Cara Savage Bright;Fisica - Araras;1;4;818.00
348;Dorian Lawson Dyer;Engenharia de Materiais - Sao Carlos;1;4;817.86
349;Vernon Mercado Browning;Engenharia de Materiais - Sao Carlos;1;3;817.86
350;Kasper Vance Tran;Enhenharia de Producao - Sao Carlos;1;5;817.86
351;Nola Decker Rivas;Ciencias Biologicas - Sorocaba;1;3;817.63
352;Dorian Crosby Mitchell;Enhenharia de Producao - Sao Carlos;2;1;817.57
353;Kenneth Perry Maddox;Quimica - Sorocaba;2;1;817.56
354;Angela Langley Dixon;Biotecnologia - Araras;1;1;817.56
355;Ahmed Jenkins Buck;Engenharia Agronomica - Lagoa do Sino;1;3;817.44
356;Alexandra Jarvis Gordon;Gerontologia - Sao Carlos;1;2;817.44
357;Isabelle Kelley Byrd;Quimica - Sao Carlos;1;4;817.40
358;Rhona Mendez Todd;Engenharia Mecanica - Sao Carlos;1;3;817.14
359;Nathaniel Taylor Guy;Engenharia Mecanica - Sao Carlos;1;1;817.14
360;Cleo Thompson Kramer;Engenharia de Materiais - Sao Carlos;1;5;817.14
361;Brendan Good Beard;Psicologia - Sao Carlos;1;5;817.11
362;Kelsey Lowery Ellis;Engenharia Civil - Sao Carlos;2;2;817.00
363;Silas Dale Hamilton;Engenharia de Producao - Sorocaba;1;3;816.88
364;Benjamin William Mullins;Quimica - Araras;1;3;816.67
365;Ahmed Deleon Baird;Engenharia Quimica - Sao Carlos;1;3;816.57
366;Abraham Sims Simon;Fisica - Sao Carlos;1;3;816.57
367;Kelly Mclaughlin Lopez;Biblioteconomia - Sao Carlos;1;2;816.13
368;Raya Peck Michael;Fisioterapia - Sao Carlos;1;4;816.00
369;Chadwick Patton Wade;Engenharia Ambiental - Lagoa do Sino;1;3;815.89
370;Shafira Irwin Molina;Gerontologia - Sao Carlos;1;3;815.78
371;Heidi Farley Weeks;Educacao Especial - Sao Carlos;1;5;815.57
