Classificados por curso:

Curso:;Agroecologia - Araras
Posicao;Nome;Opcao;Grupo;Media
4;SERINA LEVY SCHULTZ;1;3;859.14
5;JORDEN MICHAEL PATRICK;1;4;855.43
6;SLOANE DOMINGUEZ DURHAM;1;5;855.00
7;ILIANA JUAREZ FORD;1;4;850.43
8;QUAMAR HICKS BLANKENSHIP;1;1;847.71
9;AUDRA MYERS GUTIERREZ;1;2;836.00
10;MERRILL VALENTINE FAULKNER;1;4;823.29
11;LAREINA COLEMAN CURRY;1;1;820.29
12;BRENNA MEADOWS HURST;1;5;815.14
13;KEELY REEVES FRANKLIN;1;2;814.86
14;RUBY CORTEZ BLACK;1;1;807.86
15;DECLAN GARCIA COLE;1;1;807.29
16;DRAKE BELL MUELLER;1;5;804.43
17;TEAGAN SOTO GRANT;2;3;802.14
18;NORA ZAMORA EWING;1;1;800.57
19;ELLIOTT GAY ROBERTS;1;3;788.71
20;CALLIE WATSON TATE;1;4;782.43
21;BAKER SMALL CASH;1;2;782.00
22;KIBO CHANDLER CHRISTIAN;1;2;779.86
23;INDIA PAYNE AYERS;1;5;778.71
24;MADISON PENNINGTON CHARLES;1;2;777.00
25;GERALDINE JOHNSON TODD;2;1;776.29
26;KELLY BEAN SKINNER;2;5;771.00
27;AARON PHILLIPS FLOYD;2;4;770.57
28;CARLA GARNER MCDONALD;2;5;768.43
29;BO MCDOWELL SANTOS;1;1;764.43
30;SEPTEMBER WARE HESTER;1;3;758.71
31;ALVIN SHORT YORK;1;3;757.29
32;KATO POWELL TANNER;2;5;744.29
33;MAITE PARKS JAMES;2;5;737.00
34;RHEA HOWE CONLEY;1;5;723.71
35;TAD ZIMMERMAN EVANS;1;5;700.29
36;SERINA SHERMAN DRAKE;2;5;694.86
37;KUAME BURKE FOX;1;5;691.57
38;DIANA ANDERSON CANNON;1;5;684.86
39;LUCIUS ROSS AYALA;1;5;660.71
40;TASHYA MAYNARD KEITH;2;5;655.00
41;ADENA EVERETT MIRANDA;1;5;654.57
42;BRANDEN MCCORMICK THOMPSON;1;5;647.57
43;MELANIE PENNINGTON COLEMAN;1;5;635.14
44;BLYTHE MORRIS MCINTOSH;1;5;634.86
45;KIRK WYNN BROWN;1;5;632.71
46;PATRICIA RICH BOOTH;1;5;613.57
47;REBECCA HESTER BIRD;2;5;607.29
48;ORI RODRIGUEZ MCCOY;1;5;605.14
49;ORLANDO DOMINGUEZ PRICE;2;5;599.71
50;SUMMER BENNETT DAVIDSON;1;5;590.71


Curso:;Fisica - Araras
Posicao;Nome;Opcao;Grupo;Media
1;EMI GOULD CASTRO;1;3;869.00
2;NICHOLAS MATHIS TOWNSEND;1;2;863.89
3;ARETHA LARSEN HOLT;1;4;833.89
4;SHELLIE COCHRAN CUMMINGS;1;3;826.78
5;REGAN MATHEWS MACIAS;1;3;823.00
6;IMOGENE STANLEY BURGESS;1;1;821.89
7;KNOX WALSH KIRBY;1;5;820.44
8;CARA SAVAGE BRIGHT;1;4;818.00
9;HOP ROBERSON KEITH;1;4;809.89
10;NYSSA GARRETT RICH;1;4;796.33
11;JERRY PRICE LEBLANC;1;5;792.22
12;LENORE MCCARTHY GIBSON;1;2;789.89
13;EZEKIEL MORGAN COMBS;1;1;783.33
14;GREGORY CAMACHO ERICKSON;1;2;782.56
15;DYLAN SOTO KELLY;1;1;779.78
16;JASMINE PRUITT GOMEZ;2;5;776.22
17;FELIX SEARS PECK;1;5;771.11
18;ELMO GARZA SILVA;1;2;769.78
19;YEN HORTON MCNEIL;1;3;762.56
20;JUSTIN PADILLA ESPINOZA;1;5;760.33
21;AINSLEY DECKER COLLIER;1;5;754.33
22;QUYN NIEVES HESS;1;1;751.11
23;JONAH MCINTYRE FRANKS;1;1;745.89
24;DESIREE BARBER CLINE;2;5;743.78
25;DORIS PRATT SCHULTZ;1;3;743.67
26;SIGOURNEY WYNN RANDALL;2;3;739.44
27;HAYFA MCNEIL ROBINSON;2;1;737.67
28;PASCALE BARBER ROSA;1;5;735.22
29;BARBARA CALLAHAN PARK;1;5;728.56
30;NOEL WHITNEY SNYDER;1;5;717.33
31;LYSANDRA DEAN MCDOWELL;1;5;705.00
32;NASH WILLIAM JENNINGS;2;5;705.00
33;LUKE DIXON MERRILL;1;5;698.67
34;ORLI FRENCH FRANCO;1;5;685.56
35;KARINA REID MARKS;1;5;666.67
36;TALLULAH FOREMAN BAXTER;1;5;645.67
37;KATELL HOWARD RYAN;1;5;644.78
38;BAXTER JUSTICE GUTIERREZ;1;5;593.22
39;BECK AVERY ROWLAND;1;5;547.00
40;TATE MEJIA WELCH;2;5;545.67


Curso:;Quimica - Araras
Posicao;Nome;Opcao;Grupo;Media
1;JUSTIN ROBLES HATFIELD;1;4;907.00
2;HALEY REID ELLIOTT;1;5;861.89
3;BRITANNEY BENDER MUELLER;1;4;846.44
4;HAYES BURRIS ERICKSON;1;5;840.56
5;ZENA SPARKS MORIN;1;5;834.11
6;ALINE MCGOWAN CHAN;1;4;832.33
7;LOIS GRAVES CURRY;1;3;827.89
8;CAMERON BAIRD ROY;1;1;818.33
9;BENJAMIN WILLIAM MULLINS;1;3;816.67
10;GARRISON BRYANT GREEN;1;2;811.22
11;GRANT DAVID JONES;1;3;805.89
12;INGRID WITT NELSON;1;5;799.89
13;DAQUAN ROJAS HAMPTON;1;1;799.44
14;JENNA HURLEY SIMPSON;1;1;799.22
15;PATIENCE HOUSTON HENDERSON;1;5;796.89
16;SAMUEL DICKSON MADDOX;1;1;796.78
17;WINTER PUGH BEACH;1;2;796.67
18;SIGNE BARRON ESTES;2;1;795.00
19;TATIANA STUART RAYMOND;1;5;794.44
20;JULIE VAUGHAN COLEMAN;1;3;787.89
21;ILA MORRIS MCKNIGHT;1;4;780.89
22;LESTER HAYDEN MALONE;2;5;771.44
23;ALLISTAIR MOODY DUNN;1;2;764.89
24;SAGE HUDSON RILEY;1;1;764.33
25;PLATO COFFEY GALLOWAY;1;3;762.00
26;QUYNN HUDSON FIGUEROA;2;2;761.56
27;OLGA BURNS MURRAY;1;3;761.00
28;APRIL KEMP BURNS;1;5;735.33
29;MCKENZIE KEITH GREER;2;5;722.44
30;SOPOLINE GENTRY BARRY;2;5;721.22
31;IFEOMA MELTON COPELAND;1;5;712.33
32;RYDER CARSON CURRY;1;5;709.56
33;MERRILL MEYER ERICKSON;1;5;701.22
34;FREYA BUCK WEST;1;5;697.67
35;LUCAS PENNINGTON OSBORNE;1;5;696.00
36;CAMERON GATES SANCHEZ;2;5;693.67
37;ALDEN RASMUSSEN GARZA;2;5;684.67
38;PRISCILLA STUART BLEVINS;2;5;671.78
39;XYLA MCBRIDE HAYES;2;5;670.67
40;BRENDEN FREEMAN PALMER;1;5;654.44


Curso:;Engenharia Agronomica - Lagoa do Sino
Posicao;Nome;Opcao;Grupo;Media
1;DENISE GOODWIN MILLS;1;5;864.67
2;MARTHA VALDEZ POTTER;1;2;852.78
3;TASHYA GARNER GUERRERO;1;3;839.78
4;ALLISTAIR BRANCH DAVENPORT;1;3;833.33
5;EATON WARNER SMITH;1;4;824.44
6;AHMED JENKINS BUCK;1;3;817.44
7;ADRIA MEYERS SARGENT;1;3;809.00
8;NEVE WRIGHT DURAN;1;3;806.89
9;TASHYA WILKINSON STEELE;1;2;806.56
10;CIARA HANSON TURNER;1;1;802.89
11;JOAN SHEPARD MERCADO;1;4;799.33
12;BAXTER COMBS SLATER;1;4;798.44
13;SILAS NORRIS VAUGHAN;2;3;798.22
14;BERTHA HAYNES LOWE;1;2;797.22
15;ALLEN CRUZ HANEY;2;1;796.22
16;XANDRA RIGGS GOFF;1;3;794.00
17;MICHAEL STAFFORD SHORT;1;2;793.22
18;MIA YOUNG KAUFMAN;1;2;786.56
19;BRYAR PRESTON MONTOYA;1;1;786.33
20;HALLA KENNEDY SHARPE;1;1;783.11
21;ANIKA PIERCE HARPER;1;4;781.11
22;ZIA LAWSON MAXWELL;1;4;777.67
23;DAI NICHOLS MARKS;1;1;758.56
24;ANJOLIE CRUZ CLAY;1;5;758.00
25;JENNA JOYNER SALINAS;1;5;757.11
26;LESLIE KERR JOYNER;1;5;746.22
27;CHIQUITA WOOTEN MILES;2;1;742.67
28;CALEB WALL MCLEOD;1;1;741.89
29;ALICE ALFORD NAVARRO;1;1;741.33
30;DARYL CONWAY HUNT;1;5;737.44
31;HIROKO HOGAN SCHROEDER;2;5;720.89
32;BLAZE DAVIDSON SAVAGE;1;5;704.33
33;REGINA ACEVEDO RUSSO;1;5;694.33
34;ODESSA ROMAN BRANCH;1;5;685.33
35;CAMERAN NUNEZ FRYE;2;5;685.22
36;RUBY HAMPTON WRIGHT;1;5;673.11
37;ZACHERY LANCASTER POTTER;1;5;668.00
38;JORDAN PRINCE DUNLAP;1;5;665.67
39;SHAINE NGUYEN DANIEL;2;5;661.78
40;KESSIE THOMPSON GUY;2;5;648.00
41;RAFAEL ALBERT BARTON;2;5;635.89
42;BIANCA SNYDER RIDDLE;1;5;633.56
43;COLE CAREY BREWER;1;5;619.00
44;VAUGHAN HANEY ROTH;2;5;615.11
45;ANASTASIA MYERS HUFF;2;5;613.22
46;JEREMY LARA MASON;2;5;612.78
47;MONTANA CALLAHAN SAUNDERS;1;5;607.33
48;BREE OWENS JEFFERSON;1;5;605.33
49;LYLE CHAVEZ BATTLE;1;5;603.44
50;AKEEM LEWIS HARDY;2;5;599.67


Curso:;Engenharia Ambiental - Lagoa do Sino
Posicao;Nome;Opcao;Grupo;Media
1;PATIENCE AYERS GORDON;1;1;903.00
2;EMMA CASH MCDONALD;1;2;867.00
3;AILEEN DYER HULL;1;1;862.44
4;RYAN GAMBLE STOKES;1;2;857.89
5;HOLMES HOLDER WEST;1;5;847.44
6;MADONNA FREDERICK MYERS;1;1;841.33
7;BRYAR MILES WOOTEN;1;4;822.22
8;CHADWICK PATTON WADE;1;3;815.89
9;YAEL BIRD GRIMES;1;3;814.78
10;ILIANA COOLEY GRAHAM;1;2;800.33
11;PRESCOTT BARTON MANN;1;1;800.00
12;XENA TYLER MOONEY;1;4;799.00
13;KEATON HUFFMAN ROBERTS;1;1;798.44
14;BRITANNEY KNOX FARRELL;2;5;796.67
15;SALVADOR OCONNOR RILEY;2;4;782.67
16;KEELY CAMACHO ORTEGA;1;5;780.78
17;NAOMI FRAZIER TYSON;1;5;775.22
18;MEGAN RIVERA WHITE;2;2;774.44
19;HELEN BREWER SEXTON;1;5;767.44
20;CARTER JARVIS CALHOUN;1;2;765.22
21;WAYNE ROMAN WARREN;1;5;764.67
22;SEBASTIAN CANNON CASTILLO;1;1;761.89
23;MONTANA AGUILAR CALDERON;1;4;759.89
24;NOELLE MAYNARD MCDANIEL;1;4;758.89
25;TEAGAN EATON MADDEN;1;3;749.33
26;BERK GARRETT SANTANA;1;1;741.22
27;HENRY BUTLER COMBS;1;5;740.33
28;AURELIA GORDON POTTS;1;5;737.22
29;ISHMAEL HEBERT SCHNEIDER;1;1;732.89
30;ASPEN ANTHONY PATTERSON;1;5;722.11
31;IMANI ARMSTRONG DAVENPORT;1;3;714.89
32;CAIRO LIVINGSTON LOGAN;1;3;713.44
33;BEATRICE SLATER ROWE;1;5;704.56
34;DAVID CARROLL GOLDEN;1;5;704.44
35;SHEILA WOODARD MACK;2;3;702.89
36;SOPOLINE HERRING AGUIRRE;1;5;697.89
37;MELANIE MCPHERSON PERKINS;1;5;696.89
38;TIMOTHY CLEMENTS THORNTON;1;3;696.11
39;ANGELA BURCH CANTRELL;1;5;688.33
40;AUTUMN PATEL HOFFMAN;2;5;683.56
41;RAMONA BALL WHITAKER;2;5;682.44
42;MAGGY GIBBS BALLARD;1;5;678.44
43;GARETH ANDREWS BUCKLEY;1;5;676.00
44;WESLEY HUNTER GOODWIN;2;5;669.44
45;AYANNA SCHULTZ HICKMAN;1;5;668.78
46;ELIJAH BYRD BECKER;2;5;665.11
47;BRENDEN PUGH AVERY;2;5;664.44
48;COLLEEN FARRELL MCDONALD;1;5;651.89
49;HOWARD REYNOLDS HUMPHREY;1;5;640.22
50;KYLE HARRINGTON PADILLA;1;5;631.78


Curso:;Engenharia de alimentos - Lagoa do Sino
Posicao;Nome;Opcao;Grupo;Media
1;JASPER HOLMES DOTSON;1;4;936.89
2;QUAMAR FINCH HUMPHREY;1;1;871.11
3;JEANETTE SNIDER FORD;1;5;839.44
4;CHEROKEE PADILLA FARRELL;1;4;802.67
5;CHASE FLETCHER FIGUEROA;1;5;802.44
6;QUYNN JUAREZ CRAFT;1;3;797.56
7;DYLAN HINES ORR;1;2;797.00
8;DALE HERRERA SCOTT;2;4;780.44
9;RHODA RIOS WARREN;1;1;780.44
10;PLATO KNAPP STONE;1;4;776.22
11;EAGAN RICE AUSTIN;1;5;774.78
12;ABRA TERRELL RAY;2;2;771.11
13;CARL TANNER SPENCE;1;2;770.56
14;CHARDE HORN PETERSON;1;4;767.44
15;MARIKO HOWELL DICKSON;1;2;763.22
16;GINGER ORR TRUJILLO;2;3;762.11
17;JAIME WONG BRYANT;2;1;758.44
18;CHRISTIAN RAMOS BIRD;1;2;745.89
19;WYOMING FOLEY EVANS;1;3;745.44
20;HYATT ROBLES REYNOLDS;1;1;745.00
21;ANASTASIA WILDER CONRAD;1;5;742.78
22;DELILAH MCMILLAN DOTSON;2;5;740.67
23;SADE HOLDER STEVENSON;2;5;735.11
24;ROARY MENDOZA MOSS;2;1;734.00
25;JUSTIN SMALL MORROW;2;5;730.44
26;NATHAN POTTS CHERRY;1;3;728.44
27;ZACHARY MALONE PRINCE;2;5;726.44
28;KEEGAN ROWE BERG;2;3;725.56
29;ABBOT WALLS GILL;2;3;723.44
30;GIL TRAVIS PRATT;1;5;722.67
31;SYDNEE LARSON HALE;1;3;718.00
32;VIOLET SHAW MCKINNEY;1;1;717.33
33;MARIS PADILLA SMALL;1;1;715.22
34;MACKENZIE TILLMAN COFFEY;1;5;697.56
35;ROBERT DANIEL DYER;2;1;694.67
36;LARS ODOM WOODARD;2;5;692.67
37;CRAIG SCHMIDT JOYNER;1;5;692.22
38;MICHELLE BROCK GRAHAM;1;5;690.78
39;CAMILLA BURRIS GRIMES;2;5;678.89
40;DANIEL SCHULTZ FRY;1;5;671.67
41;HAKEEM PARKS BRANCH;1;5;656.67
42;KEIKO VAZQUEZ COLEMAN;1;5;650.78
43;LAEL MURPHY FRENCH;1;5;633.22
44;TANNER FOLEY KNIGHT;1;5;628.56
45;NOELANI HERRING JOHNSON;1;5;618.89
46;ADAM CHAVEZ HESTER;2;5;615.00
47;BROCK NORTON GILES;1;5;610.33
48;CHRISTEN WILKINSON WATERS;2;5;605.67
49;JANE VARGAS CHANEY;1;5;605.44
50;YETTA JOHNSON DALE;2;5;571.11


Curso:;Administracao - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;SHELBY LAMB GREEN;1;1;920.25
2;HEIDI WELCH LOWE;1;2;891.13
3;LEE FARRELL CASEY;1;3;891.13
4;RAFAEL BAKER MONROE;1;5;840.25
5;JACKSON ORTEGA POLLARD;1;1;825.13
6;CANDICE NORMAN TANNER;1;3;810.50
7;MALACHI CRANE SKINNER;2;2;809.88
8;DAVID HARDY CONLEY;1;5;806.88
9;TALON TRUJILLO DAWSON;2;4;803.00
10;PHOEBE POWELL WHEELER;2;2;798.75
11;HALL MILLS GRIFFITH;1;1;792.50
12;VALENTINE BEACH LOTT;1;4;785.50
13;WILMA OSBORNE LOTT;1;1;779.75
14;NEHRU RICHARDS WALLACE;1;4;774.25
15;DORIAN LOWERY KLEIN;1;2;772.00
16;KYLE ALEXANDER CONNER;1;3;771.00
17;ULLA FOX MCGUIRE;1;3;770.25
18;BAKER KIDD SUAREZ;2;3;770.13
19;GILLIAN RIVERA GOODWIN;1;2;769.38
20;CHANTALE SPENCE CASTRO;2;4;769.38
21;COLBY MORAN BURNS;1;2;764.75
22;GRAY RICH HOBBS;1;1;761.13
23;NATALIE HULL HENDERSON;2;3;760.50
24;JEANETTE CAMPBELL SHEPHERD;2;4;754.25
25;ERIC WOODWARD KING;2;5;753.50
26;TALLULAH FINCH HALL;1;3;751.25
27;MALLORY BUCK CAMERON;1;1;748.38
28;JUDAH KNIGHT AVILA;2;4;747.00
29;BRENDA HOUSTON SANTOS;1;5;745.00
30;RANDALL BYRD ATKINSON;1;3;743.13
31;EATON OBRIEN BONNER;1;3;741.00
32;BIANCA SHARPE MASSEY;2;5;734.38
33;ACTON BALL SMALL;1;5;734.00
34;PATIENCE ALEXANDER MORRIS;1;1;729.88
35;NELL SYKES WILLIAMS;1;1;719.50
36;WYOMING CHANDLER FOLEY;1;1;703.38
37;LINDA DURHAM ANDREWS;2;5;702.25
38;MACON SANTANA INGRAM;1;5;690.50
39;REGAN GILL SANDERS;1;5;667.25
40;SKYLER HERMAN MAYO;1;5;655.63
41;CALLIE BECKER CRANE;1;5;651.13
42;BREE HANSON BARTON;1;5;648.13
43;ZEPHR CLAYTON DEAN;1;5;646.38
44;QUINTESSA DONOVAN GARZA;1;5;555.00
45;MAXINE MCKNIGHT CHAMBERS;1;5;526.88


Curso:;Ciencia da Computacao - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;ZACHARY GRAY SIMPSON;1;2;919.50
2;CARLY WOLF CARR;1;2;902.50
3;KADEEM KIRKLAND ROWE;1;2;853.88
4;SIMONE TATE BRADSHAW;1;4;846.63
5;JOHN MCCALL EATON;1;2;825.38
6;BRENDAN TALLEY KEY;1;1;825.13
7;ERICA FLOWERS WARE;1;3;820.50
8;MARSHALL HORTON KNOWLES;1;4;820.13
9;ZEPHANIA WILLIAM KELLER;2;2;819.13
10;CARYN DORSEY GOODWIN;1;3;818.88
11;PRESCOTT MCCRAY BROOKS;1;2;818.88
12;IRA KELLY ENGLISH;1;4;818.00
13;GIL SUMMERS DUFFY;1;1;814.13
14;DAVID HOOVER BARRY;1;1;812.63
15;MADISON MCBRIDE KIRBY;1;3;812.13
16;WYLIE FOWLER CHARLES;1;5;805.63
17;WENDY LEVY KIM;1;4;803.88
18;BRYAR TERRY FLEMING;1;4;795.25
19;BLAKE SHARPE COLLIER;1;1;793.63
20;GIACOMO GOLDEN HODGE;1;5;792.13
21;MARY STANLEY SPARKS;1;3;790.63
22;DEVIN SCHWARTZ ALBERT;2;4;790.25
23;DEVIN NEAL WHITEHEAD;1;1;773.13
24;GERMANE MYERS PRESTON;1;3;769.50
25;PORTIA NORRIS MORENO;1;3;769.38
26;BERTHA LIVINGSTON NIEVES;2;1;762.75
27;KIONA PRICE KEMP;1;3;759.88
28;PAMELA FOWLER CURTIS;2;3;759.38
29;SUMMER BROWNING GRANT;2;3;754.13
30;RISA BOWERS MOSS;2;5;744.63
31;WALKER KIRK CASTANEDA;1;5;739.88
32;ZIA OWEN CARNEY;2;1;737.75
33;SYLVIA SAMPSON MCFADDEN;1;5;734.00
34;LEROY ORTIZ STANLEY;1;1;725.88
35;LISANDRA ALSTON RANDOLPH;1;1;716.88
36;ALEXIS VALENTINE HAWKINS;1;5;715.13
37;MANNIX CARLSON BENDER;1;5;710.75
38;LEONARD BRIDGES LOWE;1;5;684.25
39;KELSEY VALENCIA REEVES;1;5;672.88
40;JORDEN PARKER MEJIA;2;5;615.50
41;NOELANI ONEIL HENDRIX;1;5;605.13
42;ALAN WILDER MORRISON;1;5;603.75
43;LAITH GARNER GRIMES;2;5;597.38


Curso:;Ciencias Biologicas - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;WAYNE GARRISON DONALDSON;1;2;851.00
2;MELVIN WALTON PRATT;1;2;841.63
3;ZELENIA TOWNSEND HENSLEY;1;4;837.75
4;GERALDINE BRAY MURPHY;1;4;826.13
5;JAIME RAMSEY JEFFERSON;1;2;823.25
6;NOLA DECKER RIVAS;1;3;817.63
7;ERIN MCKEE ADKINS;1;3;810.00
8;PATRICIA ZAMORA WHEELER;1;5;805.63
9;TASHA KRAMER COOPER;2;5;805.00
10;KELSEY WILSON GRIFFITH;1;2;794.75
11;DOLAN REEVES MCPHERSON;2;1;794.00
12;HERMIONE HORN MOODY;1;5;789.50
13;MELYSSA SAWYER MANNING;1;3;787.88
14;JILLIAN ERICKSON UNDERWOOD;1;1;783.75
15;DARA LLOYD MASON;2;1;776.50
16;YAEL RICHARD BARRY;1;3;776.13
17;WALKER MCMILLAN FOWLER;1;3;773.38
18;RAFAEL ATKINSON PEREZ;2;3;770.63
19;BURTON BURKE BAIRD;1;5;769.63
20;KAMAL HOFFMAN GUERRA;1;4;763.00
21;CATHERINE LAMB WHITFIELD;1;5;762.63
22;ASHTON MORSE CLARKE;1;1;752.38
23;KARYN OSBORNE MALDONADO;1;5;746.38
24;WHITNEY ALLISON HARVEY;1;4;745.38
25;CHAIM ORTIZ RODRIQUEZ;1;5;745.00
26;ANGELICA STAFFORD SPEARS;1;1;736.88
27;MURPHY WOOD MCKINNEY;1;1;732.38
28;LEE KINNEY BARTON;2;5;712.38
29;ELVIS BALDWIN YATES;1;5;712.25
30;PATRICIA STEELE GILBERT;2;5;712.25
31;CHAVA PARK ENGLAND;1;5;711.25
32;SLADE BUCK ALLEN;1;5;710.00
33;OSCAR RODRIQUEZ WYATT;1;5;709.13
34;CHIQUITA WATERS SAVAGE;1;5;704.25
35;SUSAN DAVIS ZIMMERMAN;1;5;696.75
36;ODESSA WALKER DAUGHERTY;1;5;683.25
37;HELEN HUFF MURPHY;1;5;683.25
38;REECE DUNN RANDALL;2;5;665.00
39;PIPER DOTSON WATERS;2;5;644.38
40;AURELIA LUNA CHASE;1;5;595.63


Curso:;Ciencias Econimcas - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;DYLAN SULLIVAN BRADSHAW;1;3;951.11
2;KELSIE BARNETT NEWTON;1;3;874.00
3;ASHELY FRANKLIN STEPHENS;1;3;868.78
4;SERINA MOSLEY DAWSON;1;2;857.00
5;JAMESON DIAZ CERVANTES;1;4;840.89
6;ABRA WALLACE WRIGHT;1;5;836.56
7;BRENNAN RAMOS MCMAHON;1;1;831.67
8;ZEPHR JORDAN LANG;1;5;826.89
9;JARROD TRAVIS BAKER;1;3;812.33
10;NERO LEBLANC JUAREZ;1;1;811.78
11;VICTOR CRUZ SKINNER;1;4;810.33
12;ROSS HOOVER MONTGOMERY;1;1;807.89
13;INDIA BRIGGS FRYE;1;4;791.67
14;UTA SCHULTZ BASS;1;5;789.56
15;CAMILLE SWEET BENSON;1;3;789.56
16;HEATHER KINNEY KENNEDY;1;3;785.56
17;ZENIA MAY NUNEZ;1;1;778.67
18;BROOKE JORDAN HOLLAND;1;5;771.22
19;ALEC GARCIA GRAHAM;1;5;770.22
20;JASON MONTOYA FRAZIER;1;2;768.56
21;RAPHAEL UNDERWOOD VAUGHAN;1;4;767.22
22;MIKAYLA ESTES BURTON;1;5;763.78
23;IDONA HARRINGTON WEEKS;1;2;760.33
24;CASSANDRA MILLS TERRELL;1;3;756.44
